,NAME,STABREV,number_uninsured,percent_uninsured,RACECAT,race_category,time,state,highlight
1533,Montana,MT,118357,14.2,0,All Races,2015,30,0
1537,Nebraska,NE,148165,9.4,0,All Races,2015,31,0
1541,Nevada,NV,341952,14.1,0,All Races,2015,32,0
1545,New Hampshire,NH,84026,7.8,0,All Races,2015,33,0
1549,New Jersey,NJ,745867,10.0,0,All Races,2015,34,0
1553,New Mexico,NM,225491,13.1,0,All Races,2015,35,1
1557,New York,NY,1351396,8.2,0,All Races,2015,36,0
1561,North Carolina,NC,1080102,13.0,0,All Races,2015,37,0
1565,North Dakota,ND,54797,8.7,0,All Races,2015,38,0
1569,Ohio,OH,735492,7.7,0,All Races,2015,39,0
1573,Oklahoma,OK,522022,16.1,0,All Races,2015,40,0
1577,Oregon,OR,278293,8.4,0,All Races,2015,41,0
1581,Pennsylvania,PA,786343,7.6,0,All Races,2015,42,0
1585,Rhode Island,RI,56939,6.7,0,All Races,2015,44,0
1589,South Carolina,SC,517674,13.0,0,All Races,2015,45,0
1593,South Dakota,SD,82558,11.8,0,All Races,2015,46,0
1597,Tennessee,TN,656235,12.0,0,All Races,2015,47,0
1601,Texas,TX,4536765,19.2,0,All Races,2015,48,0
1605,Utah,UT,306968,11.6,0,All Races,2015,49,0
1609,Vermont,VT,23229,4.7,0,All Races,2015,50,0
1613,Virginia,VA,722551,10.4,0,All Races,2015,51,0
1617,Washington,WA,459596,7.6,0,All Races,2015,53,0
1621,West Virginia,WV,106941,7.3,0,All Races,2015,54,0
1625,Wisconsin,WI,314933,6.6,0,All Races,2015,55,0
1629,Wyoming,WY,65487,13.4,0,All Races,2015,56,0
1633,Alabama,AL,427972,10.8,0,All Races,2016,01,0
1637,Alaska,AK,100787,15.5,0,All Races,2016,02,0
1641,Arizona,AZ,669819,11.9,0,All Races,2016,04,0
1645,Arkansas,AR,228342,9.4,0,All Races,2016,05,0
1649,California,CA,2787305,8.4,0,All Races,2016,06,0
1653,Colorado,CO,401879,8.6,0,All Races,2016,08,0
1657,Connecticut,CT,168258,5.8,0,All Races,2016,09,0
1661,Delaware,DE,51494,6.7,0,All Races,2016,10,0
1665,District of Columbia,DC,23274,4.1,0,All Races,2016,11,0
1669,Florida,FL,2478194,15.4,0,All Races,2016,12,0
1673,Georgia,GA,1295994,14.9,0,All Races,2016,13,0
1677,Hawaii,HI,48641,4.2,0,All Races,2016,15,0
1681,Idaho,ID,165164,11.8,0,All Races,2016,16,0
1685,Illinois,IL,801267,7.5,0,All Races,2016,17,0
1689,Indiana,IN,518435,9.5,0,All Races,2016,18,0
1693,Iowa,IA,126746,5.0,0,All Races,2016,19,0
1697,Kansas,KS,239482,9.9,0,All Races,2016,20,0
1701,Kentucky,KY,218900,6.0,0,All Races,2016,21,0
1705,Louisiana,LA,460244,11.8,0,All Races,2016,22,0
1709,Maine,ME,105736,10.1,0,All Races,2016,23,0
1713,Maryland,MD,353248,7.0,0,All Races,2016,24,0
1717,Massachusetts,MA,165417,3.0,0,All Races,2016,25,2
1721,Michigan,MI,519190,6.4,0,All Races,2016,26,0
1725,Minnesota,MN,220535,4.8,0,All Races,2016,27,0
1729,Mississippi,MS,342668,14.0,0,All Races,2016,28,0
1733,Missouri,MO,526350,10.6,0,All Races,2016,29,0
1737,Montana,MT,84231,10.0,0,All Races,2016,30,0
1741,Nebraska,NE,153934,9.7,0,All Races,2016,31,0
1745,Nevada,NV,323527,13.1,0,All Races,2016,32,0
1749,New Hampshire,NH,78021,7.2,0,All Races,2016,33,0
1753,New Jersey,NJ,681347,9.2,0,All Races,2016,34,0
1757,New Mexico,NM,189965,11.2,0,All Races,2016,35,1
